,리뷰,별점,영업 시간,이미지url,가게명,가게 주소
14,강남역에서 닭갈비 먹고 싶을 때가면 좋을 것 같아요런치로 먹으니 가격도 저렴하고치즈 양도 진짜 많더라구요 !사리 추가해서 먹으니 배터질 뻔 했어요 ㅋㅋ평일 오후 1시 이후에 가야 웨이팅 안 하고바로 먹을 수 있을 것 같아요,5,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
15,사람이 너무 많기도 하고 공간이 너무 좁아서 힘들었어요ㅠㅠㅠ 그리고 가격이 좀 비싸네요...맛은 괜찮았습니다만 웨이팅 할만하지는 않은 것 같습니다..,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
16,위생 개판이고 컵에 드러운거 덕지덕지 붙어있어요.제발 좀 닦으세요! 그리고 부탄가스좀 갈아요 제발.알바 화상입을뻔했고 잘못했다가 손님얼굴에 불 붙었으면 어쩌려고그러시나요? 맛은 그저 그래요. 춘천꺼 먹다 여기꺼 못먹겠음.위치빨임.,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
17,맛도 특색없고 비위생적이었어요..!,2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
18,"닭갈비는 1인분에 11,000원이구요. 사진은 닭갈비 2인분 주문해서 음식 나오자마자 전혀 손도 안대고 찍은 사진입니다. 진짜 팩트에요 저렇게 나옵니다. 양 보고 진짜 어이가 없었네요. 그리고 무엇보다 직원들 진짜 싸가지 없네요 밥맛 다 떨어지게..양도 직원들 싸가지도 다 없지만 뭣보다 가장 중요한 맛이 없습니다. 이 돈 주고 웨이팅 서가면서 왜 먹는지 전혀 모르겠네요. 재방문 의사 절대 없습니다.",1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
19,웨이팅 줄을 가게 안에 세우는게 맞나 싶네요 밥먹고 있는데 옆에 사람들 득실 거려서 먹기 좀 그랬음 맛도 그냥저냥한번 먹고 안갈곳,2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
20,"정말 딱 3점짜리 가게.저렴하지도, 맛없지도 그렇다고 맛있지도, 임팩트가 있지도 않은 딱 3점짜리 가게점심식사하기 좋음",3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
21,"저녁에는 웨이팅이 있다고 들었는데, 대체 여기 줄을 왜 서는 건지... 직원들 불친절한 건 둘째고 그냥 맛 자체가 X",2,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
22,,3,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
23,직원 교육 좀 시키세요 내 돈 주고 밥먹는데 눈치 보여요,1,매일 11:00 ~ 23:00,'//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F49DBA659C82349DCBBA563CDBEF641AE',장인닭갈비 강남점,서울 강남구 테헤란로1길 19 지하1층 (우)06134
