,기업이름,기업지역,기업연봉,기업평점
745,효성아이티엑스(주),서울,"3,193",2.8
746,(주)메트릭스코퍼레이션,서울,"3,407",2.8
747,(주)브랜디,서울,"3,501",2.8
748,(주)아이하트,서울,"3,069",2.8
749,(주)에프에스솔루션,경기,"3,466",2.8
750,(주)예스콜닷컴,서울,"2,558",2.8
751,(주)온라인파워스,서울,"3,297",2.8
752,(주)유프리즘,서울,"3,178",2.8
753,링인터랙티브(주),서울,"3,072",2.8
754,메가넥스트(주),서울,"3,255",2.8
755,메타빌드(주),서울,"3,317",2.8
756,아이엔소프트(주),서울,"4,076",2.8
757,이랜드시스템스(주),서울,"5,012",2.8
758,(유)미소,서울,"3,713",2.8
759,(주)버티고우게임즈,서울,"3,464",2.8
760,(주)시티랩스,경기,"3,464",2.8
761,(주)아리시스,서울,"3,769",2.8
762,(주)아이센트,서울,"3,661",2.8
763,(주)에쓰씨케이,서울,"3,829",2.8
764,(주)중고나라,서울,"3,874",2.8
765,(주)키즈노트,서울,"4,121",2.8
766,(주)판도라티비,경기,"3,073",2.8
767,(주)펜타브리드,서울,"3,513",2.8
768,(주)휴먼아이티솔루션,전남,"3,694",2.8
769,나우온플레이(주),서울,"2,367",2.8
770,메가존클라우드(주),서울,"4,348",2.8
771,십이지(주),서울,"2,796",2.8
772,아이캔매니지먼트(주),서울,"3,001",2.8
773,에스씨지솔루션즈(주),서울,"3,898",2.8
774,이데일리(주),서울,"3,742",2.8
775,틱톡,서울,"4,258",2.8
776,팅크웨어(주),경기,"3,848",2.8
777,헬로우파이브(주),서울,"2,258",2.8
778,휴엔시스템(주),서울,"2,941",2.8
779,(주)맑음,서울,"2,797",2.8
780,(주)쓰리디팩토리,서울,"3,489",2.8
781,(주)에스큐브아이,서울,"3,701",2.8
782,(주)오마이뉴스,서울,"2,989",2.8
783,(주)캐스트이즈,서울,"3,873",2.8
784,(주)환경과학기술,서울,"3,407",2.8
785,아이러시(주),서울,"3,395",2.8
786,엑스엔시스템즈(주),서울,"3,402",2.8
787,유니닥스(주),서울,"3,355",2.8
788,이다커뮤니케이션즈(주),서울,"3,398",2.8
789,한국가상현실(주),서울,"2,687",2.8
790,한국모바일인증(주),서울,"3,252",2.8
791,(주)가민정보시스템,광주,"2,670",2.7
792,(주)명품입찰,대전,"2,881",2.7
793,(주)모비릭스,서울,"3,067",2.7
794,(주)비즈니스인사이트,서울,"3,759",2.7
795,(주)세정아이앤씨,부산,"4,074",2.7
796,(주)칸투칸,부산,"3,071",2.7
797,(주)한싹,서울,"4,360",2.7
798,어썸엔터테인먼트(주),서울,"3,339",2.7
799,케이씨씨정보통신(주),서울,"3,659",2.7
800,(주)굿닥,서울,"6,017",2.7
801,(주)디비아이엔씨,서울,"4,957",2.7
802,(주)씽크트리,서울,"2,704",2.7
803,(주)잉카인터넷,서울,"3,676",2.7
804,(주)지메이트시스템즈,서울,"2,505",2.7
805,(주)테르텐,서울,"3,317",2.7
806,(주)한국미디어네트워크,서울,"3,231",2.7
807,(주)후이즈,서울,"3,040",2.7
808,미스터블루(주),서울,"3,218",2.7
809,아이시프트(주),서울,"3,347",2.7
810,콤텍정보통신(주),서울,"3,887",2.7
811,퓨렌스(주),서울,"3,005",2.7
812,하이브랩(주),경기,"3,243",2.7
813,(주)디케이아이테크놀로지,서울,"3,485",2.7
814,(주)스마일벤처스,서울,"3,283",2.7
815,(주)스터디맥스,서울,"3,385",2.7
816,(주)아프리카티비,경기,"4,200",2.7
817,(주)엔에스에이치씨,서울,"3,652",2.7
818,(주)인사이드정보,서울,"3,328",2.7
819,(주)코비젼,서울,"3,870",2.7
820,(주)핑거,서울,"3,721",2.7
821,게임빌(주),서울,"4,027",2.7
822,대우정보시스템(주),서울,"3,566",2.7
823,바이텍정보통신(주),경기,"3,865",2.7
824,엠앤디(주),서울,"3,543",2.7
825,이노스닷컴(주),서울,"2,428",2.7
826,줌인터넷(주),서울,"4,069",2.7
827,프렌트립(주),서울,"3,445",2.7
828,(주)골드넥스,서울,"2,750",2.7
829,(주)두핸즈,서울,"3,626",2.7
830,(주)라이온브리지테크놀로지스코리아,서울,"3,434",2.7
831,(주)산하정보기술,서울,"3,064",2.7
832,(주)스마일서브,경기,"3,255",2.7
833,(주)얍컴퍼니,서울,"4,095",2.7
834,(주)케이티씨에스,대전,"2,904",2.7
835,롯데정보통신(주),서울,"4,762",2.7
836,아이뉴스24(주),서울,"3,542",2.7
837,지니키즈(주),서울,"2,675",2.7
838,한국전자인증(주),서울,"4,687",2.7
839,(주)넷맨,서울,"3,819",2.7
840,(주)넷아이디,서울,"3,187",2.7
841,(주)다래전략사업화센터,서울,"3,368",2.7
842,(주)리드넘버,경기,0,2.7
843,(주)미궁365,서울,"3,398",2.7
844,(주)산돌,서울,"4,164",2.7
845,(주)스마트소셜,부산,"2,955",2.7
846,(주)유티플러스인터랙티브,경기,"3,873",2.7
847,(주)제이티넷,서울,"3,530",2.7
848,넥스브레인(주),서울,"3,454",2.7
849,노아에이티에스(주),서울,"4,073",2.7
850,뉴윈텍(주),서울,"3,713",2.7
851,도전하는사람들(주),서울,"3,628",2.7
852,부뜰정보시스템(주),서울,"3,707",2.7
853,테크빌교육(주),서울,"3,418",2.7
854,(주)글루시스,경기,"3,379",2.7
855,(주)나온소프트,서울,"3,618",2.7
856,(주)뉴스토마토,서울,"3,423",2.7
857,(주)도움이티에스,서울,"3,443",2.7
858,(주)디지털다임,서울,"3,391",2.7
859,(주)주연테크,서울,"2,878",2.7
860,(주)트윔,경기,"3,648",2.7
861,더핑크퐁컴퍼니(주),서울,"3,884",2.7
862,소프트캠프(주),경기,"4,364",2.7
863,웹케시네트웍스(주),서울,"2,768",2.7
864,케이엘넷(주),서울,"3,610",2.7
865,퀸텟시스템즈(주),서울,"3,117",2.7
866,(주)비즈테크아이,서울,"3,379",2.7
867,(주)에프앤자산평가,서울,"3,391",2.7
868,(주)엠투커뮤니티,서울,"2,947",2.7
869,(주)웹젠온네트,경기,"3,544",2.7
870,(주)이노트리,서울,"3,436",2.7
871,(주)인투데이타시스템,서울,"2,766",2.7
872,(주)파인원홀딩스,서울,"3,278",2.7
873,메가존(주),서울,"3,818",2.7
874,브라이니클,서울,"4,233",2.7
875,스포츠투아이(주),서울,"3,628",2.7
876,씨엔티테크(주),서울,"3,228",2.7
877,씽크풀(주),서울,"3,308",2.7
878,오픈타이드코리아(주),서울,"3,606",2.7
879,제이유엑스(주),서울,"3,651",2.7
880,타파크로스(주),서울,"3,030",2.7
881,(주)도브투래빗,서울,"3,333",2.7
882,(주)두꺼비세상,서울,"3,646",2.7
883,골든플래닛(주),서울,"3,270",2.7
884,나무커뮤니케이션(주),서울,"2,851",2.7
885,디비에프아이에스(주),서울,"4,947",2.7
886,블루버드(주),서울,"4,397",2.7
887,스타일쉽(주),서울,"3,802",2.7
888,유클릭(주),서울,"3,307",2.7
889,인프니스네트웍스(주),서울,"3,218",2.7
890,한국아이비엠테크니컬솔루션(유),경기,"3,442",2.7
891,(주)네이블커뮤니케이션즈,서울,"4,563",2.7
892,(주)드림어스컴퍼니,서울,"3,936",2.7
893,(주)아이엠비씨,서울,"3,310",2.7
894,(주)엑스포츠미디어,서울,"2,755",2.7
895,(주)엔티시스,서울,"2,912",2.7
896,(주)엘루오씨앤씨,서울,"3,576",2.7
897,(주)이포즌,서울,"3,378",2.7
898,(주)팬택씨앤아이,서울,"4,102",2.7
899,(주)핀업,경기,"3,534",2.7
900,마이뮤직테이스트,서울,"3,299",2.7
901,오토브레인(주),서울,"3,150",2.7
902,인터랙티비(주),서울,"3,554",2.7
903,크리스피드(주),서울,"3,324",2.7
904,(주)디지틀조선일보,서울,"3,089",2.7
905,(주)뷰메진,서울,"3,846",2.7
906,(주)에어코드,서울,"4,613",2.7
907,(주)엔씨아이티에스,경기,"3,656",2.7
908,(주)엠씨에스텍,서울,"2,805",2.7
909,(주)이글루코퍼레이션,서울,"3,453",2.7
910,(주)이테크시스템,서울,"3,743",2.7
911,글로브포인트(주),경기,"2,621",2.7
912,날리지포인트(주),서울,"2,850",2.7
913,동방에스앤디(주),서울,"3,383",2.7
914,마크애니(주),서울,"3,629",2.7
915,매그넘빈트(주),서울,"3,429",2.7
916,소프트원(주),서울,"3,583",2.7
917,안리쓰코퍼레이션(주),경기,"4,274",2.7
918,에덴레드코리아(주),서울,"2,395",2.7
919,엠텔레텍(주),서울,"3,227",2.7
920,위즈코어(주),서울,"3,490",2.7
921,유투시스템(주),경기,"3,057",2.7
922,이즈넷(주),서울,"3,505",2.7
923,(주)달콤소프트,서울,"2,877",2.6
924,(주)리코시스,서울,"3,718",2.6
925,(주)아이비즈소프트웨어,서울,"3,681",2.6
926,(주)에티버스,서울,"3,498",2.6
927,(주)주인정보시스템,서울,"2,860",2.6
928,(주)한국네트웍스,서울,"4,680",2.6
929,(주)한화컨버전스,경기,"4,238",2.6
930,모바일웍스코리아(주),서울,"3,609",2.6
931,선도소프트(주),서울,"2,802",2.6
932,아임굿(주),서울,"2,268",2.6
933,엔에이치엔커머스(주),서울,"3,399",2.6
934,엔타즈(주),서울,"2,741",2.6
935,예스이십사(주),서울,"4,254",2.6
936,웨더뉴스(주),서울,"4,287",2.6
937,웹모아(주),서울,"2,652",2.6
938,유플러스아이티(주),서울,"3,103",2.6
939,잘레시아(주),서울,"3,685",2.6
940,(주)레전더리스,서울,"3,252",2.6
941,(주)사이버다임,서울,"3,564",2.6
942,(주)새하컴즈,서울,"4,214",2.6
943,(주)애자일소다,서울,"3,461",2.6
944,(주)케이티아이에스,서울,"3,010",2.6
945,(주)크로니아이티,서울,"3,434",2.6
946,(주)포시에스,서울,"3,767",2.6
947,에이케이아이에스(주),서울,"4,217",2.6
948,(재)행복아이씨티,서울,"3,473",2.6
949,(주)상아매니지먼트컨설팅,서울,"3,558",2.6
950,(주)에이블스토어,서울,"2,428",2.6
951,(주)와이드티엔에스,서울,"3,121",2.6
952,(주)와이즈넛,경기,"4,600",2.6
953,(주)제이씨원,서울,"3,414",2.6
954,(주)채플린게임,서울,"4,068",2.6
955,스카우트(주),서울,"2,854",2.6
956,씨온드림(주),서울,"2,938",2.6
957,에이치엔아이엔씨(주),서울,"4,488",2.6
958,에이팀벤처스(주),서울,"3,282",2.6
959,현대 유엔아이(주),서울,"4,836",2.6
960,(주)네오리진,서울,"3,794",2.6
961,(주)매스티지,인천,"2,744",2.6
962,(주)수산아이앤티,서울,"4,321",2.6
963,(주)아크라인소프트,서울,"3,378",2.6
964,(주)엠에스티씨,경기,"2,802",2.6
965,(주)파오스파트너스,서울,"3,051",2.6
966,(주)하만인터내셔널코리아,서울,"5,499",2.6
967,비앤디(주),대구,"4,203",2.6
968,비온시이노베이터(주),전남,"2,517",2.6
969,아이덴티티게임즈(주),서울,"3,625",2.6
970,임픽스(주),서울,"3,178",2.6
971,지온네트웍스(주),서울,"3,350",2.6
972,통로이미지(주),서울,"3,888",2.6
973,한국지역정보개발원,서울,"4,089",2.6
974,(주)뉴스1,서울,"3,452",2.6
975,(주)미트박스글로벌,서울,"3,828",2.6
976,(주)엔키아,경기,"3,547",2.6
977,(주)이모션글로벌,서울,"3,523",2.6
978,(주)플레이오토,서울,"3,131",2.6
979,넥스젠어쏘시에이트(주),서울,"2,954",2.6
980,마인드원(주),서울,"3,786",2.6
981,바른손게임즈(주),경기,"2,493",2.6
982,오브젠(주),서울,"3,429",2.6
983,오큐브(주),대구,"3,616",2.6
984,프람트(주),서울,"2,576",2.6
985,(주)디지털플래닝,서울,"2,376",2.6
986,(주)솔로몬텍,서울,"4,020",2.6
987,(주)신한디에스,서울,"4,787",2.6
988,(주)진코퍼레이션,서울,"3,348",2.6
989,메리트인(주),서울,"1,927",2.6
990,모뉴엘(주),서울,"3,590",2.6
991,에이텍(주),경기,"3,235",2.6
992,엔잡얼라이언스(주),서울,"2,535",2.6
993,유젠플랜에이(주),서울,"3,979",2.6
994,이노라임(주),서울,"3,122",2.6
995,크림하우스(주),서울,"2,925",2.6
996,(주)리얼야구존,서울,"3,483",2.6
997,(주)싸이웍스,서울,"2,743",2.6
998,(주)위딧,울산,"2,944",2.6
999,(주)지앤티솔루션,서울,"3,587",2.6
