"성별","행정구역별",2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"성별","행정구역별",전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,전체,평일,평일,평일,평일,주말,주말,주말,주말,평일,평일,평일,평일,주말,주말,주말,주말
"성별","행정구역별",응답자수 (명),평균시간 (시간),표준오차 (%),변동계수 (%),응답자수 (명),평균시간 (시간),표준오차 (%),변동계수 (%),응답자수 (명),평균시간 (시간),표준오차 (%),변동계수 (%),응답자수 (명),평균시간 (시간),표준오차 (%),변동계수 (%),응답자수 (명),평균시간 (시간),표준오차 (%),변동계수 (%),응답자수 (명),평균시간 (시간),표준오차 (%),변동계수 (%),응답자수 (명),평균시간 (시간),표준오차 (%),변동계수 (%)
"전체","서울특별시 용산구",917,6.5,0.0,0.7,916,6.6,0.0,0.7,919,6.6,0.0,0.6,915,6.7,0.0,0.7,915,7.3,0.1,0.7,914,6.6,0.0,0.7,914,7.3,0.1,0.8
"전체","서울특별시 은평구",914,6.5,0.0,0.7,913,6.6,0.0,0.6,915,6.4,0.0,0.6,919,6.7,0.0,0.6,918,7.4,0.0,0.6,914,6.6,0.0,0.7,915,7.3,0.1,0.8
"전체","서울특별시 종로구",925,6.4,0.0,0.6,913,6.6,0.0,0.7,914,6.4,0.0,0.7,917,6.6,0.0,0.6,917,7.3,0.1,0.7,913,6.5,0.0,0.6,913,7.1,0.1,0.9
"전체","서울특별시 중구",912,6.5,0.0,0.7,913,6.5,0.0,0.6,911,6.5,0.0,0.7,909,6.6,0.0,0.5,911,7.2,0.0,0.7,920,6.7,0.0,0.6,920,7.4,0.1,0.8
"전체","서울특별시 중랑구",914,6.5,0.0,0.7,915,6.7,0.0,0.7,919,6.5,0.0,0.6,914,6.6,0.0,0.6,914,7.4,0.1,0.8,915,6.4,0.0,0.6,915,7.2,0.1,0.7
"전체","부산광역시",14518,6.5,0.0,0.2,14512,6.7,0.0,0.2,14507,6.6,0.0,0.2,14504,6.7,0.0,0.2,14503,7.3,0.0,0.2,14506,6.6,0.0,0.2,14507,7.2,0.0,0.2
"전체","부산광역시 강서구",901,6.6,0.0,0.7,900,6.7,0.1,0.8,901,6.6,0.0,0.7,901,6.7,0.0,0.6,901,7.3,0.1,0.7,901,6.7,0.0,0.6,901,7.2,0.1,0.8
"전체","부산광역시 금정구",912,6.7,0.0,0.5,910,6.7,0.0,0.6,909,6.5,0.0,0.6,909,6.7,0.0,0.7,909,7.3,0.1,0.9,909,6.5,0.0,0.7,909,7.2,0.1,0.8
"전체","부산광역시 기장군",906,6.6,0.0,0.7,906,6.6,0.0,0.6,906,6.6,0.0,0.7,906,6.7,0.0,0.7,906,7.2,0.1,0.9,906,6.6,0.0,0.7,906,7.2,0.1,0.9
"전체","부산광역시 남구",909,6.6,0.1,0.8,909,6.7,0.0,0.6,910,6.6,0.0,0.6,909,6.6,0.0,0.7,909,7.2,0.1,0.7,909,6.5,0.0,0.6,909,7.1,0.1,0.8
"전체","부산광역시 동구",905,6.4,0.0,0.6,904,6.5,0.0,0.8,904,6.5,0.1,0.8,902,6.8,0.1,0.8,902,7.4,0.1,0.9,903,6.5,0.0,0.7,903,7.2,0.1,1.0
"전체","부산광역시 동래구",916,6.6,0.0,0.6,912,6.9,0.0,0.6,909,6.7,0.0,0.6,909,6.7,0.0,0.6,909,7.3,0.0,0.7,909,6.5,0.0,0.6,909,7.2,0.1,0.9
"전체","부산광역시 부산진구",909,6.4,0.0,0.7,910,6.6,0.0,0.7,910,6.5,0.0,0.5,910,6.6,0.0,0.5,910,7.2,0.1,0.8,910,6.6,0.0,0.7,910,7.3,0.1,0.8
"전체","부산광역시 북구",910,6.5,0.0,0.6,910,6.5,0.0,0.6,909,6.6,0.0,0.7,909,6.7,0.0,0.6,909,7.3,0.1,0.8,909,6.6,0.0,0.7,909,7.1,0.1,0.8
