,개방서비스명,상세영업상태코드,상세영업상태명,소재지전체주소,사업장명,업태구분명,시도,시군구,시도 시군구
9311,단란주점영업,1,영업,부산광역시 해운대구 우동 541-5번지,해운대,단란주점,부산광역시,해운대구,부산광역시 해운대구
9312,단란주점영업,1,영업,부산광역시 해운대구 좌동 1462-2번지,귀족단란주점,단란주점,부산광역시,해운대구,부산광역시 해운대구
9313,단란주점영업,1,영업,부산광역시 해운대구 좌동 1465-1,e채원,단란주점,부산광역시,해운대구,부산광역시 해운대구
9314,단란주점영업,1,영업,부산광역시 해운대구 재송동 1100-10번지,카니발,단란주점,부산광역시,해운대구,부산광역시 해운대구
9315,단란주점영업,1,영업,부산광역시 해운대구 우동 626-14번지,도쿄,단란주점,부산광역시,해운대구,부산광역시 해운대구
9316,단란주점영업,1,영업,부산광역시 해운대구 좌동 1462-1 명문프라자5층일부,마린걸,단란주점,부산광역시,해운대구,부산광역시 해운대구
9317,단란주점영업,1,영업,부산광역시 해운대구 우동 1410-2,미호,단란주점,부산광역시,해운대구,부산광역시 해운대구
9318,단란주점영업,1,영업,부산광역시 해운대구 우동 611-3번지,타부단란주점,단란주점,부산광역시,해운대구,부산광역시 해운대구
9319,단란주점영업,1,영업,부산광역시 동래구 온천동 1428-13번지,나윤정라이브7080,단란주점,부산광역시,동래구,부산광역시 동래구
9320,단란주점영업,1,영업,부산광역시 동래구 안락동 425-23번지,퀸단란주점,단란주점,부산광역시,동래구,부산광역시 동래구
9321,단란주점영업,1,영업,부산광역시 동래구 온천동 220-1번지,쉬리,단란주점,부산광역시,동래구,부산광역시 동래구
9322,단란주점영업,1,영업,부산광역시 수영구 남천동 9-17번지 (2층),지(G)콘서트라이브,단란주점,부산광역시,수영구,부산광역시 수영구
9323,단란주점영업,1,영업,부산광역시 수영구 수영동 444-15,소양강,단란주점,부산광역시,수영구,부산광역시 수영구
9324,단란주점영업,1,영업,부산광역시 해운대구 우동 541-11,단지,단란주점,부산광역시,해운대구,부산광역시 해운대구
9325,단란주점영업,1,영업,부산광역시 해운대구 송정동 198-2,모텔 노래방,단란주점,부산광역시,해운대구,부산광역시 해운대구
9326,단란주점영업,1,영업,부산광역시 해운대구 중동 1396-59 미성복어불고기,벨류,단란주점,부산광역시,해운대구,부산광역시 해운대구
