영업상태구분코드,소재지면적,소재지전체주소,사업장명,위생업태명,시도,시군구,시도 시군구
1,70.39,경기도 부천시 소사본동 76-5,궁노래빠,룸살롱,경기도,부천시,경기도 부천시
1,265.85,경기도 부천시 중동 1158-1 (지하1층),강남,룸살롱,경기도,부천시,경기도 부천시
1,74.6,경기도 부천시 심곡동 383-9,카카오노래바,룸살롱,경기도,부천시,경기도 부천시
1,104.97,"경기도 부천시 소사본동 75-5번지 ,지하1층",비타민,룸살롱,경기도,부천시,경기도 부천시
1,76,경기도 부천시 심곡동 388-8번지 지하1층,서강,룸살롱,경기도,부천시,경기도 부천시
1,99.08,경기도 부천시 심곡동 171-18 (지상3층일부),뉴월드노래크럽,룸살롱,경기도,부천시,경기도 부천시
1,99.68,경기도 부천시 중동 1130 삼익프라자 203호,시계탑노래바,룸살롱,경기도,부천시,경기도 부천시
1,89.51,경기도 부천시 중동 1130-14 201호,킹덤클럽,룸살롱,경기도,부천시,경기도 부천시
1,71.49,경기도 부천시 역곡동 81-6번지 지하1층,핑클바,룸살롱,경기도,부천시,경기도 부천시
1,435.7,경기도 부천시 중동 1162 뉴월드프라자 지층 101호,포세이돈노래타운(중동점),룸살롱,경기도,부천시,경기도 부천시
1,152.95,경기도 부천시 심곡동 382-3,멜론노래타운1,룸살롱,경기도,부천시,경기도 부천시
1,113.18,경기도 부천시 중동 1137-2 충도프라자 지하1층,미코,룸살롱,경기도,부천시,경기도 부천시
1,54.54,"경기도 부천시 중동 1147-8 ,B01호 일부",에이플러스노래클럽,룸살롱,경기도,부천시,경기도 부천시
1,291.18,"경기도 부천시 중동 1133-8 (지하 101,102호)",루미,룸살롱,경기도,부천시,경기도 부천시
1,250.88,경기도 부천시 중동 1150-13,단풍,룸살롱,경기도,부천시,경기도 부천시
1,210.86,경기도 부천시 중동 1130-5 대진빌딩,준코뮤직타운 중동3호점,룸살롱,경기도,부천시,경기도 부천시
1,97.37,경기도 화성시 남양읍 남양리 2078-2 1층일부,꽃노래클럽,노래클럽,경기도,화성시,경기도 화성시
1,151.89,경기도 화성시 향남읍 하길리 1467-4 1동 403호,궁노래빵,룸살롱,경기도,화성시,경기도 화성시
1,125.36,"경기도 화성시 남양읍 남양리 2078-4 4층 401, 401-1호",7080라이브아리조나,노래클럽,경기도,화성시,경기도 화성시
1,113.2,경기도 화성시 남양읍 남양리 2076-1,백악관 노래광장,룸살롱,경기도,화성시,경기도 화성시
1,122.84,경기도 화성시 반송동 103-5 거성프라자,불후의명곡7080라이브,노래클럽,경기도,화성시,경기도 화성시
1,83.84,경기도 화성시 향남읍 하길리 1467-4 1동 207호,천사노래클럽,룸살롱,경기도,화성시,경기도 화성시
1,65.55,"경기도 화성시 남양읍 남양리 2078-5 1동 1층 일부(108호,109호)",아이비노래클럽,룸살롱,경기도,화성시,경기도 화성시
1,157.13,경기도 화성시 남양읍 남양리 2076-12 1동 2층 202호,쟁반노래타운클럽,룸살롱,경기도,화성시,경기도 화성시
1,146.35,경기도 화성시 남양읍 남양리 2076-12 1동 2층 201호,짝노래광장클럽,룸살롱,경기도,화성시,경기도 화성시
1,106.6,경기도 화성시 향남읍 하길리 1467-3 605호,비행기 노래광장,룸살롱,경기도,화성시,경기도 화성시
1,111.5,경기도 화성시 향남읍 하길리 1467-3 604호,떳다 노래클럽,룸살롱,경기도,화성시,경기도 화성시
1,106.6,경기도 화성시 향남읍 하길리 1467-3 505호,명품 노래클럽,룸살롱,경기도,화성시,경기도 화성시
1,156.84,경기도 화성시 향남읍 하길리 1467-4 304호,팥쥐노래,룸살롱,경기도,화성시,경기도 화성시
1,126.9,경기도 화성시 향남읍 하길리 1465-5 205호,와노래광장,룸살롱,경기도,화성시,경기도 화성시
1,137.48,경기도 화성시 향남읍 하길리 1472-5 305호,별노래광장,룸살롱,경기도,화성시,경기도 화성시
1,98.67,경기도 부천시 심곡동 173-10번지 지하1층 일부,짠노래클럽,룸살롱,경기도,부천시,경기도 부천시
1,75.9,경기도 부천시 중동 1127-10 설산프라자 지하1층,싸이노래바,룸살롱,경기도,부천시,경기도 부천시
1,47.28,경기도 부천시 중동 1133-9 우진3차프라자 303-1호,아리아노래클럽,룸살롱,경기도,부천시,경기도 부천시
1,73.19,"경기도 부천시 심곡본동 590-4 ,지하1층",에이플러스,기타,경기도,부천시,경기도 부천시
1,86.99,경기도 부천시 심곡동 190-11 지하1층,케이투노래클럽,간이주점,경기도,부천시,경기도 부천시
1,103.15,경기도 부천시 중동 1133-9 우진3차프라자 B101호,팝콘노래광장,룸살롱,경기도,부천시,경기도 부천시
1,73.54,경기도 부천시 심곡동 174-11 (3층),에쿠스노래클럽,룸살롱,경기도,부천시,경기도 부천시
1,106.92,"경기도 부천시 중동 1147 ,화이트몰 지하 101호",아줌마노래바,룸살롱,경기도,부천시,경기도 부천시
1,64.13,경기도 부천시 중동 1163-14 지하 102호,TOP노래클럽,룸살롱,경기도,부천시,경기도 부천시
1,72.59,경기도 부천시 중동 1163-5 지하1층,다이아나클럽,룸살롱,경기도,부천시,경기도 부천시
1,98.43,"경기도 부천시 심곡동 180-16 ,지하1층일부",코알라노래클럽,기타,경기도,부천시,경기도 부천시
1,53.07,경기도 부천시 원종동 277-8,777룸클럽,룸살롱,경기도,부천시,경기도 부천시
