개방서비스명,상세영업상태코드,상세영업상태명,소재지전체주소,사업장명,업태구분명
단란주점영업,1,영업,광주광역시 광산구 쌍암동 666-1번지 2층 A동,또와7080,단란주점
단란주점영업,1,영업,광주광역시 광산구 신가동 986-4,호박,단란주점
단란주점영업,1,영업,광주광역시 광산구 우산동 1586-20 (지상 2층),헤라,단란주점
단란주점영업,1,영업,광주광역시 광산구 신창동 1222-1 3층,나랑,단란주점
단란주점영업,1,영업,광주광역시 광산구 신창동 1222-5 4층,혜리,단란주점
단란주점영업,1,영업,광주광역시 광산구 쌍암동 694-52 (2층),여우음악홀,단란주점
단란주점영업,1,영업,광주광역시 광산구 우산동 1609-15번지 (2층),술마시는탑노래홀,단란주점
단란주점영업,1,영업,광주광역시 광산구 쌍암동 694-53 (2층),스카이단란주점,단란주점
단란주점영업,1,영업,광주광역시 광산구 신가동 992-3번지 2층,팡팡음악홀,단란주점
단란주점영업,1,영업,광주광역시 광산구 월곡동 488-1,KTV(케이티브이),단란주점
단란주점영업,1,영업,광주광역시 광산구 우산동 1605-1,엘에이7080,단란주점
단란주점영업,1,영업,광주광역시 광산구 신가동 985-9번지 (4층),아지트7080,단란주점
단란주점영업,1,영업,광주광역시 광산구 우산동 1581-1번지 (지하1층),술마시는챠밍노래홀,단란주점
단란주점영업,1,영업,광주광역시 광산구 월계동 887-4,존,단란주점
단란주점영업,1,영업,광주광역시 광산구 신가동 1015-1 (2층),뽕,단란주점
단란주점영업,1,영업,광주광역시 광산구 월계동 886-5 외1필지(2층),오렌지,단란주점
단란주점영업,1,영업,광주광역시 광산구 월계동 891-2 (1층),밀크,단란주점
단란주점영업,1,영업,광주광역시 광산구 쌍암동 664-1 (2층),나도가수다7080,단란주점
단란주점영업,1,영업,광주광역시 광산구 월계동 877-7번지 (2층),버디홀,단란주점
단란주점영업,1,영업,광주광역시 광산구 월계동 884-3번지 (2층),스마트,단란주점
단란주점영업,1,영업,광주광역시 광산구 우산동 1585-1번지 외2필지(2층),좋은날,단란주점
단란주점영업,1,영업,광주광역시 광산구 월곡동 547-7,viet클럽,단란주점
단란주점영업,1,영업,광주광역시 광산구 월곡동 532-2,엑스포,단란주점
단란주점영업,1,영업,광주광역시 광산구 우산동 1574-12,뉴스타(New Star),단란주점
단란주점영업,1,영업,광주광역시 광산구 송정동 833-1번지,채호7080,단란주점
단란주점영업,1,영업,광주광역시 광산구 월계동 882-4 (2층),에스(S),단란주점
단란주점영업,1,영업,광주광역시 광산구 쌍암동 668-15,친구야7080,단란주점
단란주점영업,1,영업,광주광역시 광산구 우산동 1573-3번지 (3층),카라,단란주점
단란주점영업,1,영업,광주광역시 광산구 월계동 891-3 (2층),명품단란주점,단란주점
단란주점영업,1,영업,광주광역시 광산구 신가동 985-5 (2층),소나타노래홀,단란주점
단란주점영업,1,영업,광주광역시 광산구 송정동 1003-3번지 외1필지(3층),너랑나랑노래하는7080,단란주점
단란주점영업,1,영업,광주광역시 광산구 월계동 891-6 2층,벌떼,단란주점
단란주점영업,1,영업,광주광역시 동구 대인동 321-2,갤럭시,단란주점
단란주점영업,1,영업,광주광역시 동구 금남로3가 3-7번지 (지하),올가,단란주점
단란주점영업,1,영업,광주광역시 북구 우산동 555-30 (2층),쟁반,단란주점
단란주점영업,1,영업,광주광역시 북구 운암동 97-13번지 외1필지(2층),술마시는궁전노래홀,단란주점
단란주점영업,1,영업,광주광역시 북구 용봉동 1365-1번지 (안쪽),황진이,단란주점
단란주점영업,1,영업,광주광역시 북구 양산동 788 2층,호박,단란주점
단란주점영업,1,영업,광주광역시 북구 용봉동 1365-16 (2층),별노래홀,단란주점
단란주점영업,1,영업,광주광역시 북구 용봉동 1365-9번지 (지상2층),술마시는짱노래샵,단란주점
단란주점영업,1,영업,광주광역시 북구 문흥동 997-11 (5층),세시봉,단란주점
단란주점영업,1,영업,광주광역시 북구 문흥동 997-3번지 (지상2층),미스트롯7080,단란주점
단란주점영업,1,영업,광주광역시 북구 용봉동 1365-10 2층,오빠야,단란주점
단란주점영업,1,영업,광주광역시 북구 신안동 144-1 (2층),술마시는볼륨노래홀,단란주점
단란주점영업,1,영업,광주광역시 북구 운암동 450-25 (1층),7080해피송,단란주점
단란주점영업,1,영업,광주광역시 북구 오치동 856-18번지 (2층),술마시는열창노래홀,단란주점
단란주점영업,1,영업,광주광역시 북구 유동 101-7번지 2층,유)제이제이,단란주점
단란주점영업,1,영업,광주광역시 북구 문흥동 1001-1번지,브이아이피(VIP),단란주점
단란주점영업,1,영업,광주광역시 북구 용두동 300-1번지 2층,술마시는프랜드노래홀,단란주점
단란주점영업,1,영업,광주광역시 북구 용봉동 1366-1,포썸,단란주점
단란주점영업,1,영업,광주광역시 북구 운암동 94-21 1층,골드,단란주점
단란주점영업,1,영업,광주광역시 북구 양산동 787 2층,환희,단란주점
단란주점영업,1,영업,광주광역시 북구 문흥동 997-2 지하1층,빙고노래홀,단란주점
단란주점영업,1,영업,광주광역시 북구 신안동 13-1 외3필지,천하뮤직홀,단란주점
단란주점영업,1,영업,광주광역시 북구 풍향동 603-16 지상2층,7080부킹,단란주점
단란주점영업,1,영업,광주광역시 북구 두암동 569-10번지 외 1필지(지하1층),술마시는햇님노래홀,단란주점
단란주점영업,1,영업,광주광역시 북구 운암동 447-5 1호 지하1층,운암술마시는노래타운,단란주점
단란주점영업,1,영업,광주광역시 북구 운암동 447-3번지 지상2층,빠라빠빠7080,단란주점
단란주점영업,1,영업,광주광역시 북구 신안동 154-6 (지하1층),라이브25시,단란주점
단란주점영업,1,영업,광주광역시 북구 두암동 569-26 (지상7층),7080세븐스타,단란주점
단란주점영업,1,영업,광주광역시 북구 유동 109-15번지,시바,단란주점
단란주점영업,1,영업,광주광역시 북구 두암동 841-13,플라워,단란주점
단란주점영업,1,영업,광주광역시 북구 신안동 499-25번지,신안노래호프,단란주점
단란주점영업,1,영업,광주광역시 북구 신안동 240-37번지,오존,단란주점
단란주점영업,1,영업,광주광역시 북구 운암동 1631번지,들국화,단란주점
단란주점영업,1,영업,광주광역시 북구 신안동 7-9,제우스노래타운,단란주점
단란주점영업,1,영업,광주광역시 북구 중흥동 692-5번지,송송,단란주점
단란주점영업,1,영업,광주광역시 북구 우산동 518-143,우정,단란주점
단란주점영업,1,영업,광주광역시 북구 신안동 237-5번지,뿌아종,단란주점
단란주점영업,1,영업,광주광역시 북구 임동 226-27번지,음악홀,단란주점
단란주점영업,1,영업,광주광역시 북구 용봉동 1082-2,뉴하트7080라인라이브,단란주점
단란주점영업,1,영업,광주광역시 북구 일곡동 846-5 지상2층,쟁반노래홀,단란주점
단란주점영업,1,영업,광주광역시 북구 신안동 256-7번지 지상2층,재미스토리,단란주점
단란주점영업,1,영업,광주광역시 북구 운암동 447-1번지 2층,콘서트7080,단란주점
단란주점영업,1,영업,광주광역시 북구 용두동 306번지 외4필지(3층),제이제이7080,단란주점
단란주점영업,1,영업,광주광역시 북구 용봉동 1365-3 외1필지(2층),술마시는폭스노래홀,단란주점
단란주점영업,1,영업,광주광역시 북구 용봉동 1365-4번지 (지상2층),볼륨,단란주점
단란주점영업,1,영업,부산광역시 동구 초량동 172-24,스타,단란주점
단란주점영업,1,영업,"부산광역시 동구 수정동 227-52 ,59,61",코코,단란주점
단란주점영업,1,영업,부산광역시 동구 수정동 842-12,란,단란주점
단란주점영업,1,영업,부산광역시 동구 범일동 657-6 936-2,스타문,단란주점
단란주점영업,1,영업,부산광역시 동구 초량동 1197-4,비엔나,단란주점
단란주점영업,1,영업,부산광역시 동구 범일동 28-4번지,텍사스,단란주점
단란주점영업,1,영업,부산광역시 동구 범일동 830-28번지,동경가요반주,단란주점
단란주점영업,1,영업,부산광역시 동구 수정동 210-3 213-3,제이 노래방주점,단란주점
단란주점영업,1,영업,부산광역시 동구 수정동 256-3번지,환타지아,단란주점
단란주점영업,1,영업,부산광역시 동구 수정동 234-7번지,짱가노래주점,단란주점
단란주점영업,1,영업,부산광역시 동구 초량동 103-14번지,칼라,단란주점
단란주점영업,1,영업,부산광역시 영도구 봉래동1가 48-2번지,오렌지,단란주점
단란주점영업,1,영업,부산광역시 중구 부평동2가 33-3번지 3층,빠리2,단란주점
단란주점영업,1,영업,부산광역시 중구 남포동6가 65-1 지하1층,7080 인생극장,단란주점
단란주점영업,1,영업,부산광역시 중구 남포동5가 50-1 외 2필지  4층,앵콜,단란주점
단란주점영업,1,영업,부산광역시 중구 중앙동2가 52-2번지 현대빌딩 1층,더라운지,단란주점
단란주점영업,1,영업,부산광역시 중구 남포동5가 33번지 15층 B동,레인보우 라이브,단란주점
단란주점영업,1,영업,부산광역시 중구 부평동1가 37-3,히노쿠시Ⅲ,단란주점
단란주점영업,1,영업,부산광역시 중구 부평동2가 26-7,카라 단란주점,단란주점
단란주점영업,1,영업,부산광역시 북구 덕천동 353-5,아림,단란주점
단란주점영업,1,영업,경상북도 예천군 예천읍 동본리 465번지,홍시단란주점,단란주점
단란주점영업,1,영업,경상북도 예천군 풍양면 낙상리 151-4,한솔단란주점,단란주점
단란주점영업,1,영업,경상북도 예천군 지보면 암천리 80-2,대보단란주점,단란주점
단란주점영업,1,영업,경상북도 예천군 지보면 912-25,마몽드,단란주점
단란주점영업,1,영업,경상북도 예천군 예천읍 동본리 463-7번지,노래하는단란주점,단란주점
단란주점영업,1,영업,경상북도 예천군 용궁면 읍부리 316-22번지,스타단란주점,단란주점
단란주점영업,1,영업,경상북도 예천군 예천읍 동본리 463-6번지,엔돌핀,단란주점
단란주점영업,1,영업,경상북도 상주시 공성면 옥산리 167-3,새장녹수단란주점,단란주점
단란주점영업,1,영업,경상북도 상주시 화서면 신봉리 150-1번지,홍콩단란주점,단란주점
단란주점영업,1,영업,경상북도 상주시 청리면 월로리 668-1번지,성진단란주점,단란주점
단란주점영업,1,영업,경상북도 상주시 서성동 59-4,루비,단란주점
단란주점영업,1,영업,경상북도 문경시 점촌동 267-20,그린단란주점,단란주점
단란주점영업,1,영업,경상북도 문경시 점촌동 147-7,이쁜여우,단란주점
단란주점영업,1,영업,경상북도 칠곡군 북삼읍 숭오리 909-15,금오동천단란주점,단란주점
단란주점영업,1,영업,경상북도 칠곡군 왜관읍 왜관리 253-29,늘봄단란주점,단란주점
단란주점영업,1,영업,경상북도 칠곡군 왜관읍 왜관리 251-25번지,시저단란주점,단란주점
단란주점영업,1,영업,경상북도 칠곡군 왜관읍 왜관리 789-104번지 외 1필지,신나라노래주점,단란주점
단란주점영업,1,영업,경상북도 상주시 성동동 644번지,한국관회관,단란주점
