,date,index
1,2005-01-01,2.8
2,2006-01-01,2.2
3,2007-01-01,2.5
4,2008-01-01,4.7
5,2009-01-01,2.8
6,2010-01-01,2.9
7,2011-01-01,4.0
8,2012-01-01,2.2
9,2013-01-01,1.3
10,2014-01-01,1.3
11,2015-01-01,0.7
12,2016-01-01,1.0
13,2017-01-01,1.9
14,2018-01-01,1.5
15,2019-01-01,0.4
16,2020-01-01,0.5
17,2021-01-01,2.5
18,2022-01-01,5.1
